Date,IsHoliday,Dept,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment
2010-02-05,0,17.0,13223.76,42.31,2.572,211.0963582,8.106
2010-02-12,1,17.0,13403.66,38.51,2.548,211.2421698,8.106
2010-02-19,0,17.0,13485.61,39.93,2.514,211.2891429,8.106
2010-02-26,0,17.0,10667.06,46.63,2.561,211.3196429,8.106
2010-03-05,0,17.0,12657.65,46.5,2.625,211.3501429,8.106
2010-03-12,0,17.0,12793.17,57.79,2.667,211.3806429,8.106
2010-03-19,0,17.0,11097.8,54.58,2.72,211.215635,8.106
2010-03-26,0,17.0,8900.01,51.45,2.732,211.0180424,8.106
2010-04-02,0,17.0,9572.23,62.27,2.719,210.8204499,7.808
2010-04-09,0,17.0,8159.34,65.86,2.77,210.6228574,7.808
2010-04-16,0,17.0,7790.67,66.32,2.808,210.4887,7.808
2010-04-23,0,17.0,8036.98,64.84,2.795,210.4391228,7.808
2010-04-30,0,17.0,8769.42,67.41,2.78,210.3895456,7.808
2010-05-07,0,17.0,9970.0,72.55,2.835,210.3399684,7.808
2010-05-14,0,17.0,10266.86,74.78,2.854,210.3374261,7.808
2010-05-21,0,17.0,9254.13,76.44,2.826,210.6170934,7.808
2010-05-28,0,17.0,8644.05,80.44,2.759,210.8967606,7.808
2010-06-04,0,17.0,9212.09,80.69,2.705,211.1764278,7.808
2010-06-11,0,17.0,8846.82,80.43,2.668,211.4560951,7.808
2010-06-18,0,17.0,8932.62,84.11,2.637,211.4537719,7.808
2010-06-25,0,17.0,9407.16,84.34,2.653,211.3386526,7.808
2010-07-02,0,17.0,9242.3,80.91,2.669,211.2235333,7.787
2010-07-09,0,17.0,8324.41,80.48,2.642,211.108414,7.787
2010-07-16,0,17.0,7492.79,83.15,2.623,211.1003854,7.787
2010-07-23,0,17.0,8914.49,83.36,2.608,211.2351443,7.787
2010-07-30,0,17.0,9384.75,81.84,2.64,211.3699032,7.787
2010-08-06,0,17.0,9851.77,87.16,2.627,211.5046621,7.787
2010-08-13,0,17.0,9661.1,87.0,2.692,211.6394211,7.787
2010-08-20,0,17.0,10751.74,86.65,2.664,211.6033633,7.787
2010-08-27,0,17.0,10036.31,85.22,2.619,211.5673056,7.787
2010-09-03,0,17.0,10118.25,81.21,2.577,211.5312479,7.787
2010-09-10,1,17.0,9408.87,78.69,2.565,211.4951902,7.787
2010-09-17,0,17.0,8794.19,82.11,2.582,211.5224596,7.787
2010-09-24,0,17.0,9687.73,80.94,2.624,211.5972246,7.787
2010-10-01,0,17.0,8648.02,71.89,2.603,211.6719895,7.838
2010-10-08,0,17.0,10195.94,63.93,2.633,211.7467544,7.838
2010-10-15,0,17.0,8821.23,67.18,2.72,211.8137436,7.838
2010-10-22,0,17.0,7898.35,69.86,2.725,211.8612937,7.838
2010-10-29,0,17.0,8198.62,69.64,2.716,211.9088438,7.838
2010-11-05,0,17.0,9250.94,58.74,2.689,211.9563939,7.838
2010-11-12,0,17.0,8603.57,59.61,2.728,212.003944,7.838
2010-11-19,0,17.0,10086.41,51.41,2.771,211.8896737,7.838
2010-11-26,1,17.0,13337.59,64.52,2.735,211.7484333,7.838
2010-12-03,0,17.0,11045.34,49.27,2.708,211.607193,7.838
2010-12-10,0,17.0,11917.53,46.33,2.843,211.4659526,7.838
2010-12-17,0,17.0,13487.5,49.84,2.869,211.4053124,7.838
2010-12-24,0,17.0,19842.0,52.33,2.886,211.4051222,7.838
2010-12-31,1,17.0,10429.16,48.43,2.943,211.4049321,7.838
2011-01-07,0,17.0,8582.2,48.27,2.976,211.4047419,7.742
2011-01-14,0,17.0,8503.39,35.4,2.983,211.4574109,7.742
2011-01-21,0,17.0,7658.87,44.04,3.016,211.8272343,7.742
2011-01-28,0,17.0,7724.52,43.83,3.01,212.1970577,7.742
2011-02-04,0,17.0,9741.2,42.27,2.989,212.5668812,7.742
2011-02-11,1,17.0,11068.7,36.39,3.022,212.9367046,7.742
2011-02-18,0,17.0,12612.94,57.36,3.045,213.2478853,7.742
2011-02-25,0,17.0,11949.83,62.9,3.065,213.535609,7.742
2011-03-04,0,17.0,12994.45,59.58,3.288,213.8233327,7.742
2011-03-11,0,17.0,9728.55,53.56,3.459,214.1110564,7.742
2011-03-18,0,17.0,10143.22,62.76,3.488,214.3627114,7.742
2011-03-25,0,17.0,9004.62,69.97,3.473,214.5999389,7.742
2011-04-01,0,17.0,9742.29,59.17,3.524,214.8371664,7.682
2011-04-08,0,17.0,8618.59,67.84,3.622,215.0743939,7.682
2011-04-15,0,17.0,7921.95,71.27,3.743,215.2918561,7.682
2011-04-22,0,17.0,9084.67,72.99,3.807,215.4599053,7.682
2011-04-29,0,17.0,7795.43,72.03,3.81,215.6279544,7.682
2011-05-06,0,17.0,10121.32,64.61,3.906,215.7960035,7.682
2011-05-13,0,17.0,9975.24,75.64,3.899,215.9640526,7.682
2011-05-20,0,17.0,7894.76,67.63,3.907,215.7339202,7.682
2011-05-27,0,17.0,6937.06,77.72,3.786,215.5037878,7.682
2011-06-03,0,17.0,5913.51,83.0,3.699,215.2736553,7.682
2011-06-10,0,17.0,9670.75,83.13,3.648,215.0435229,7.682
2011-06-17,0,17.0,10592.73,86.41,3.637,214.9980596,7.682
2011-06-24,0,17.0,6301.63,83.58,3.594,215.0910982,7.682
2011-07-01,0,17.0,7424.91,85.55,3.524,215.1841368,7.962
2011-07-08,0,17.0,8444.58,85.83,3.48,215.2771754,7.962
2011-07-15,0,17.0,7205.38,88.54,3.575,215.3611087,7.962
2011-07-22,0,17.0,7826.08,85.77,3.651,215.4222784,7.962
2011-07-29,0,17.0,7500.48,86.83,3.682,215.4834482,7.962
2011-08-05,0,17.0,8100.38,91.65,3.684,215.544618,7.962
2011-08-12,0,17.0,8893.77,90.76,3.638,215.6057878,7.962
2011-08-19,0,17.0,7974.09,89.94,3.554,215.6693107,7.962
2011-08-26,0,17.0,9138.11,87.96,3.523,215.7332258,7.962
2011-09-02,0,17.0,7577.4,87.83,3.533,215.7971409,7.962
2011-09-09,1,17.0,8209.44,76.0,3.546,215.861056,7.962
2011-09-16,0,17.0,7208.1,79.94,3.526,216.0410526,7.962
2011-09-23,0,17.0,7063.24,75.8,3.467,216.3758246,7.962
2011-09-30,0,17.0,7348.08,79.69,3.355,216.7105965,7.962
2011-10-07,0,17.0,8149.44,69.31,3.285,217.0453684,7.866
2011-10-14,0,17.0,8241.42,71.74,3.274,217.3552733,7.866
2011-10-21,0,17.0,7547.77,63.71,3.353,217.5159762,7.866
2011-10-28,0,17.0,7407.41,66.57,3.372,217.6766791,7.866
2011-11-04,0,17.0,7760.73,54.98,3.332,217.837382,7.866
2011-11-11,0,17.0,7316.53,59.11,3.297,217.9980849,7.866
2011-11-18,0,17.0,9558.5,62.25,3.308,218.2205088,7.866
2011-11-25,1,17.0,12329.5,60.14,3.236,218.4676211,7.866
2011-12-02,0,17.0,9490.05,48.91,3.172,218.7147333,7.866
2011-12-09,0,17.0,10484.57,43.93,3.158,218.9618456,7.866
2011-12-16,0,17.0,11642.24,51.63,3.159,219.1794533,7.866
2011-12-23,0,17.0,18463.27,47.96,3.112,219.3577216,7.866
2011-12-30,1,17.0,10619.45,44.55,3.129,219.5359898,7.866
2012-01-06,0,17.0,8086.43,49.01,3.157,219.7142581,7.348
2012-01-13,0,17.0,9454.17,48.53,3.261,219.8925263,7.348
2012-01-20,0,17.0,7968.85,54.11,3.268,219.9856893,7.348
2012-01-27,0,17.0,7237.41,54.26,3.29,220.0788523,7.348
2012-02-03,0,17.0,8128.57,56.55,3.36,220.1720153,7.348
2012-02-10,1,17.0,10461.07,48.02,3.409,220.2651783,7.348
2012-02-17,0,17.0,11684.73,45.32,3.51,220.4257586,7.348
2012-02-24,0,17.0,9309.63,57.25,3.555,220.636902,7.348
2012-03-02,0,17.0,11187.42,60.96,3.63,220.8480454,7.348
2012-03-09,0,17.0,11553.98,58.76,3.669,221.0591887,7.348
2012-03-16,0,17.0,8523.56,64.74,3.734,221.2118132,7.348
2012-03-23,0,17.0,7456.66,65.93,3.787,221.2864126,7.348
2012-03-30,0,17.0,8433.01,67.61,3.845,221.3610119,7.348
2012-04-06,0,17.0,8662.4,70.43,3.891,221.4356112,7.143
2012-04-13,0,17.0,6936.35,69.07,3.891,221.5102105,7.143
2012-04-20,0,17.0,8559.84,66.76,3.877,221.5640737,7.143
2012-04-27,0,17.0,7868.25,67.23,3.814,221.6179368,7.143
2012-05-04,0,17.0,9064.6,75.55,3.749,221.6718,7.143
2012-05-11,0,17.0,7964.29,73.77,3.688,221.7256632,7.143
2012-05-18,0,17.0,9308.53,70.33,3.63,221.742674,7.143
2012-05-25,0,17.0,7323.66,77.22,3.561,221.744944,7.143
2012-06-01,0,17.0,7197.38,77.95,3.501,221.7472139,7.143
2012-06-08,0,17.0,8589.19,78.3,3.452,221.7494839,7.143
2012-06-15,0,17.0,6676.87,79.35,3.393,221.7626421,7.143
2012-06-22,0,17.0,7468.47,78.39,3.346,221.8030211,7.143
2012-06-29,0,17.0,8240.63,84.88,3.286,221.8434,7.143
2012-07-06,0,17.0,8053.74,81.57,3.227,221.8837789,6.908
2012-07-13,0,17.0,7386.64,77.12,3.256,221.9241579,6.908
2012-07-20,0,17.0,7195.7,80.42,3.311,221.9327267,6.908
2012-07-27,0,17.0,8435.09,82.66,3.407,221.9412954,6.908
2012-08-03,0,17.0,7809.58,86.11,3.417,221.9498642,6.908
2012-08-10,0,17.0,8441.34,85.05,3.494,221.9584329,6.908
2012-08-17,0,17.0,8710.04,84.85,3.571,222.0384109,6.908
2012-08-24,0,17.0,9523.9,77.66,3.62,222.1719457,6.908
2012-08-31,0,17.0,8158.73,80.49,3.638,222.3054805,6.908
2012-09-07,1,17.0,8712.44,83.96,3.73,222.4390153,6.908
2012-09-14,0,17.0,7075.73,74.97,3.717,222.5820193,6.908
2012-09-21,0,17.0,7143.59,69.87,3.721,222.7818386,6.908
2012-09-28,0,17.0,7155.75,76.08,3.666,222.9816579,6.908
2012-10-05,0,17.0,9040.52,68.55,3.617,223.1814772,6.573
2012-10-12,0,17.0,7908.36,62.99,3.601,223.3812965,6.573
2012-10-19,0,17.0,7640.43,67.97,3.594,223.4257233,6.573
2012-10-26,0,17.0,7640.92,69.16,3.506,223.4442513,6.573
